¿Qué es un ángulo recto?;Un ángulo de exactamente 90 grados;Un ángulo mayor a 90 grados;Un ángulo menor a 90 grados;
¿Cómo se llama un ángulo menor a 90 grados?;Ángulo agudo;Ángulo obtuso;Ángulo recto;
¿Cuántos grados tiene un ángulo recto?;90 grados;45 grados;180 grados;
¿Qué tipo de ángulo es un ángulo de 180 grados?;Ángulo llano;Ángulo obtuso;Ángulo recto;
¿Qué tipo de ángulo se forma cuando dos líneas son perpendiculares entre sí?;Ángulo recto;Ángulo agudo;Ángulo obtuso;
¿Cómo se llama un ángulo mayor a 90 grados pero menor a 180 grados?;Ángulo obtuso;Ángulo agudo;Ángulo llano;
¿Cuál es el nombre del ángulo que es mayor a 180 grados pero menor a 360 grados?;Ángulo completo;Ángulo obtuso;Ángulo agudo;
Si giras un reloj de pared de las 12:00 en punto a las 3:00 en punto, ¿qué ángulo has girado?;90 grados;45 grados;180 grados;
¿Cuál es el nombre del ángulo que es igual a 360 grados?;Ángulo completo;Ángulo recto;Ángulo agudo;
¿Si divides un ángulo recto en dos partes iguales, ¿cuántos grados tienen cada una de las partes?;45 grados;60 grados;90 grados;
¿Que herramienta se utiliza para medir los angulos?;Transportador;Regla;Metro;
¿Cual es la unidad de medida de los angulos?;Grados;Centimetros;Kilogramos;
¿Cuales son las partes que componen un angulo?;Lados-Vertice-Apertura;Base-Altura-Angulo;Radio-Diametro-Circunferencia;
